,state,state_po,county_name,county_fips,totalvotes,candidatevotes_biden,candidatevotes_trump,per_biden,per_trump,per_diff,abs_per_diff,winner
2679,OKLAHOMA,OK,PAYNE,40119.0,29643.0,10904.0,17813.0,36.78440103903114,60.091758593934486,23.307357554903348,23.307357554903348,0
2680,OKLAHOMA,OK,PITTSBURG,40121.0,17924.0,3768.0,13851.0,21.022093282749385,77.27627761660344,56.254184333854056,56.254184333854056,0
2681,OKLAHOMA,OK,PONTOTOC,40123.0,15320.0,4117.0,10805.0,26.873368146214098,70.52872062663185,43.655352480417754,43.655352480417754,0
2682,OKLAHOMA,OK,POTTAWATOMIE,40125.0,28185.0,7275.0,20240.0,25.811601915912718,71.81124711726096,45.999645201348244,45.999645201348244,0
2683,OKLAHOMA,OK,PUSHMATAHA,40127.0,4739.0,668.0,4016.0,14.095800801856932,84.74361679679258,70.64781599493566,70.64781599493566,0
2684,OKLAHOMA,OK,ROGER MILLS,40129.0,1834.0,168.0,1629.0,9.16030534351145,88.82224645583425,79.6619411123228,79.6619411123228,0
2685,OKLAHOMA,OK,ROGERS,40131.0,44553.0,9589.0,34031.0,21.522680852018944,76.38318407290193,54.86050322088298,54.86050322088298,0
2686,OKLAHOMA,OK,SEMINOLE,40133.0,8337.0,2150.0,6011.0,25.788652992683218,72.1002758786134,46.311622885930184,46.311622885930184,0
2687,OKLAHOMA,OK,SEQUOYAH,40135.0,15386.0,3035.0,12113.0,19.72572468477837,78.72741453269205,59.00168984791368,59.00168984791368,0
2688,OKLAHOMA,OK,STEPHENS,40137.0,19057.0,3154.0,15560.0,16.550348953140578,81.64978747966627,65.09943852652569,65.09943852652569,0
2689,OKLAHOMA,OK,TEXAS,40139.0,5521.0,894.0,4505.0,16.192718710378553,81.59753667813801,65.40481796775946,65.40481796775946,0
2690,OKLAHOMA,OK,TILLMAN,40141.0,2708.0,597.0,2076.0,22.045790251107828,76.66174298375185,54.61595273264402,54.61595273264402,0
2691,OKLAHOMA,OK,TULSA,40143.0,266678.0,108996.0,150574.0,40.87176295007462,56.46285032886102,15.591087378786405,15.591087378786405,0
2692,OKLAHOMA,OK,WAGONER,40145.0,35338.0,8464.0,26165.0,23.951553568396626,74.04210764615993,50.09055407776331,50.09055407776331,0
2693,OKLAHOMA,OK,WASHINGTON,40147.0,23501.0,5790.0,17076.0,24.637249478745584,72.66073784094293,48.02348836219734,48.02348836219734,0
2694,OKLAHOMA,OK,WASHITA,40149.0,4777.0,598.0,4086.0,12.518316935315053,85.5348545111995,73.01653757588444,73.01653757588444,0
2695,OKLAHOMA,OK,WOODS,40151.0,3678.0,591.0,2993.0,16.06851549755302,81.3757476889614,65.30723219140837,65.30723219140837,0
2696,OKLAHOMA,OK,WOODWARD,40153.0,7785.0,1005.0,6611.0,12.909441233140656,84.91971740526654,72.01027617212588,72.01027617212588,0
2697,SOUTH DAKOTA,SD,AURORA,46003.0,1405.0,317.0,1052.0,22.562277580071175,74.87544483985765,52.313167259786475,52.313167259786475,0
2698,SOUTH DAKOTA,SD,BEADLE,46005.0,7081.0,2107.0,4808.0,29.755684225391892,67.90001412229911,38.14432989690722,38.14432989690722,0
2699,SOUTH DAKOTA,SD,BENNETT,46007.0,1183.0,466.0,694.0,39.391377852916314,58.66441251056636,19.273034657650044,19.273034657650044,0
2700,SOUTH DAKOTA,SD,BON HOMME,46009.0,3001.0,721.0,2235.0,24.025324891702766,74.4751749416861,50.44985004998334,50.44985004998334,0
2701,SOUTH DAKOTA,SD,BROOKINGS,46011.0,14567.0,6110.0,8000.0,41.944120271847325,54.91865174709961,12.974531475252284,12.974531475252284,0
2702,SOUTH DAKOTA,SD,BROWN,46013.0,17547.0,6538.0,10580.0,37.25993047244543,60.29520715791873,23.0352766854733,23.0352766854733,0
2703,SOUTH DAKOTA,SD,BRULE,46015.0,2490.0,673.0,1750.0,27.028112449799195,70.28112449799197,43.25301204819277,43.25301204819277,0
2704,SOUTH DAKOTA,SD,BUFFALO,46017.0,549.0,352.0,183.0,64.11657559198542,33.33333333333333,-30.783242258652095,30.783242258652095,1
2705,SOUTH DAKOTA,SD,BUTTE,46019.0,4802.0,939.0,3731.0,19.55435235318617,77.69679300291546,58.14244064972928,58.14244064972928,0
2706,SOUTH DAKOTA,SD,CAMPBELL,46021.0,873.0,117.0,747.0,13.402061855670103,85.56701030927834,72.16494845360825,72.16494845360825,0
2707,SOUTH DAKOTA,SD,CHARLES MIX,46023.0,3783.0,1177.0,2552.0,31.112873380914618,67.45968807824478,36.34681469733016,36.34681469733016,0
2708,SOUTH DAKOTA,SD,CLARK,46025.0,1850.0,437.0,1373.0,23.62162162162162,74.21621621621621,50.59459459459459,50.59459459459459,0
2709,SOUTH DAKOTA,SD,CLAY,46027.0,5698.0,3083.0,2456.0,54.10670410670411,43.1028431028431,-11.003861003861005,11.003861003861005,1
2710,SOUTH DAKOTA,SD,CODINGTON,46029.0,13161.0,3837.0,8958.0,29.154319580578985,68.06473672213357,38.91041714155459,38.91041714155459,0
2711,SOUTH DAKOTA,SD,CORSON,46031.0,1283.0,622.0,647.0,48.480124707716286,50.42868277474669,1.9485580670304046,1.9485580670304046,0
2712,SOUTH DAKOTA,SD,CUSTER,46033.0,5494.0,1522.0,3852.0,27.702948671277756,70.11285038223517,42.40990171095741,42.40990171095741,0
2713,SOUTH DAKOTA,SD,DAVISON,46035.0,8454.0,2648.0,5613.0,31.32245091081145,66.3946061036196,35.07215519280814,35.07215519280814,0
2714,SOUTH DAKOTA,SD,DAY,46037.0,2964.0,1052.0,1869.0,35.49257759784076,63.056680161943326,27.56410256410257,27.56410256410257,0
2715,SOUTH DAKOTA,SD,DEUEL,46039.0,2350.0,609.0,1699.0,25.914893617021278,72.29787234042553,46.38297872340425,46.38297872340425,0
2716,SOUTH DAKOTA,SD,DEWEY,46041.0,1966.0,1131.0,790.0,57.527975584944045,40.18311291963377,-17.344862665310274,17.344862665310274,1
2717,SOUTH DAKOTA,SD,DOUGLAS,46043.0,1707.0,216.0,1468.0,12.65377855887522,85.99882835383714,73.34504979496192,73.34504979496192,0
